2021-08-25/20:47:55		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:05		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:06		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:06		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:06		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:06		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:06		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:06		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:06		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:06		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:06		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:07		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:08		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:08		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:08		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:08		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:08		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:08		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:08		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:08		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:08		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:09		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:10		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:11		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:12		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:13		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:14		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:15		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:15		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:15		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:15		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:15		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:15		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:15		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:15		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:15		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111998.csv: File loaded successfully!!
2021-08-25/20:48:16		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:17		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:17		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:17		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:17		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:17		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:17		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:17		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:17		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:17		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:18		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:19		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:19		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:19		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:19		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:19		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:19		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:19		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:19		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:19		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:20		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:21		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:22		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:23		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:23		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:23		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:23		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:23		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:23		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:23		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:23		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:24		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:25		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:26		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:27		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:28		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:28		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:28		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:28		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:28		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:28		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:28		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
2021-08-25/20:48:28		 hypothyroid_0211198_0102062111999.csv: File loaded successfully!!
